instruction,input,output
"Describe what happens next in ""Family Guy"".","Chris and Meg, who is carrying Stewie, are ordering some food for the movie. Yeah, can I get one large popcorn with extra butter, two medium cokes, and some Twizzlers?","The employee behind the register puts a sign up on the counter.  It reads: NO DOGS ALLOWED."
"Respond as EMPLOYEE from ""Family Guy"" would.","The employee behind the register puts a sign up on the counter.  It reads: NO DOGS ALLOWED. Yeah, can I get one large popcorn with extra butter, two medium cokes, and some Twizzlers?","Next!"
"Continue the conversation in the style of ""Family Guy"".","The employee behind the register puts a sign up on the counter.  It reads: NO DOGS ALLOWED. Yeah, can I get one large popcorn with extra butter, two medium cokes, and some Twizzlers?","Next!"
"Respond as STEWIE from ""Family Guy"" would.",The employee behind the register puts a sign up on the counter.  It reads: NO DOGS ALLOWED. Next!,"Oh, don't frown upon your hideousness, Meg.  I'm sure it comes in quite useful when you need to get out of a certain situation."
"Continue the conversation in the style of ""Family Guy"".",The employee behind the register puts a sign up on the counter.  It reads: NO DOGS ALLOWED. Next!,"Oh, don't frown upon your hideousness, Meg.  I'm sure it comes in quite useful when you need to get out of a certain situation."
"Respond as MEG from ""Family Guy"" would.","The employee behind the register puts a sign up on the counter.  It reads: NO DOGS ALLOWED. Oh, don't frown upon your hideousness, Meg.  I'm sure it comes in quite useful when you need to get out of a certain situation.","Stewie, you're getting too heavy for me to carry you anymore."
"Continue the conversation in the style of ""Family Guy"".","The employee behind the register puts a sign up on the counter.  It reads: NO DOGS ALLOWED. Oh, don't frown upon your hideousness, Meg.  I'm sure it comes in quite useful when you need to get out of a certain situation.","Stewie, you're getting too heavy for me to carry you anymore."
"Respond as STEWIE from ""Family Guy"" would.","The employee behind the register puts a sign up on the counter.  It reads: NO DOGS ALLOWED. Stewie, you're getting too heavy for me to carry you anymore.","Too heavy?  Now listen here, David Lee Roth, I work out thirty minutes a day while on a special diet designed by Taebo fitness instructor Billy Blanks."
"Continue the conversation in the style of ""Family Guy"".","The employee behind the register puts a sign up on the counter.  It reads: NO DOGS ALLOWED. Stewie, you're getting too heavy for me to carry you anymore.","Too heavy?  Now listen here, David Lee Roth, I work out thirty minutes a day while on a special diet designed by Taebo fitness instructor Billy Blanks."
"Respond as MEG from ""Family Guy"" would.","The employee behind the register puts a sign up on the counter.  It reads: NO DOGS ALLOWED. Too heavy?  Now listen here, David Lee Roth, I work out thirty minutes a day while on a special diet designed by Taebo fitness instructor Billy Blanks.","Stewie, you're gonna have to walk."
"Describe what happens next in ""Family Guy"".","The employee behind the register puts a sign up on the counter.  It reads: NO DOGS ALLOWED. Too heavy?  Now listen here, David Lee Roth, I work out thirty minutes a day while on a special diet designed by Taebo fitness instructor Billy Blanks.","She sets Stewie down. Stewie jumps up and down, demanding to be picked back up and carried."
"Continue the conversation in the style of ""Family Guy"".","The employee behind the register puts a sign up on the counter.  It reads: NO DOGS ALLOWED. Too heavy?  Now listen here, David Lee Roth, I work out thirty minutes a day while on a special diet designed by Taebo fitness instructor Billy Blanks.","Stewie, you're gonna have to walk."
"Respond as STEWIE from ""Family Guy"" would.","She sets Stewie down. Stewie jumps up and down, demanding to be picked back up and carried. Stewie, you're gonna have to walk.","Why, you fobbing flap-mouthed lewdster! Pick me back up! I refuse to walk on this mess you call a floor. Who knows what's been on it!"
"Continue the conversation in the style of ""Family Guy"".","She sets Stewie down. Stewie jumps up and down, demanding to be picked back up and carried. Stewie, you're gonna have to walk.","Why, you fobbing flap-mouthed lewdster! Pick me back up! I refuse to walk on this mess you call a floor. Who knows what's been on it!"
"Describe what happens next in ""Family Guy"".","She sets Stewie down. Stewie jumps up and down, demanding to be picked back up and carried. Why, you fobbing flap-mouthed lewdster! Pick me back up! I refuse to walk on this mess you call a floor. Who knows what's been on it!","An old man walks by with muddy shoes. The mud wipes onto the carpet. Suddenly, the man trips on his own feet, and his face hits the floor hard. His false teeth fly out of his mouth, transmitting gooey saliva all over the floor. Stewie gasps and becomes sickened."
"Respond as WOMAN #1 from ""Family Guy"" would.","An old man walks by with muddy shoes. The mud wipes onto the carpet. Suddenly, the man trips on his own feet, and his face hits the floor hard. His false teeth fly out of his mouth, transmitting gooey saliva all over the floor. Stewie gasps and becomes sickened. Why, you fobbing flap-mouthed lewdster! Pick me back up! I refuse to walk on this mess you call a floor. Who knows what's been on it!","Oh, that's disgusting!"
"Describe what happens next in ""Family Guy"".","An old man walks by with muddy shoes. The mud wipes onto the carpet. Suddenly, the man trips on his own feet, and his face hits the floor hard. His false teeth fly out of his mouth, transmitting gooey saliva all over the floor. Stewie gasps and becomes sickened. Why, you fobbing flap-mouthed lewdster! Pick me back up! I refuse to walk on this mess you call a floor. Who knows what's been on it!","She immediately hurls up her lunch. The vomit spreads across the floor, and another passing moviegoer slips in the puke. A young kid runs out of the bathroom with toilet paper attached to his shoe."
"Continue the conversation in the style of ""Family Guy"".","An old man walks by with muddy shoes. The mud wipes onto the carpet. Suddenly, the man trips on his own feet, and his face hits the floor hard. His false teeth fly out of his mouth, transmitting gooey saliva all over the floor. Stewie gasps and becomes sickened. Why, you fobbing flap-mouthed lewdster! Pick me back up! I refuse to walk on this mess you call a floor. Who knows what's been on it!","Oh, that's disgusting!"
"Respond as STEWIE from ""Family Guy"" would.","She immediately hurls up her lunch. The vomit spreads across the floor, and another passing moviegoer slips in the puke. A young kid runs out of the bathroom with toilet paper attached to his shoe. Oh, that's disgusting!","Oh, God..."
"Describe what happens next in ""Family Guy"".","She immediately hurls up her lunch. The vomit spreads across the floor, and another passing moviegoer slips in the puke. A young kid runs out of the bathroom with toilet paper attached to his shoe. Oh, that's disgusting!","Stewie faints."
"Continue the conversation in the style of ""Family Guy"".","She immediately hurls up her lunch. The vomit spreads across the floor, and another passing moviegoer slips in the puke. A young kid runs out of the bathroom with toilet paper attached to his shoe. Oh, that's disgusting!","Oh, God..."
"Describe what happens next in ""Family Guy"".","Stewie faints. Oh, God...","Everyone is watching the movie. The previews are playing."
"Describe what happens next in ""Family Guy"".","Everyone is watching the movie. The previews are playing. Oh, God...","CLOSE ON THEATER SCREEN. THE FOLLOWING PREVIEW HAS BEEN APPROVED FOR ALL AUDIENCES BY AN ASSOCIATION WHO DESTROYS FILMS. A reptile of some sort is on the screen attacking people."
"Respond as PREVIEW VOICEOVER from ""Family Guy"" would.","CLOSE ON THEATER SCREEN. THE FOLLOWING PREVIEW HAS BEEN APPROVED FOR ALL AUDIENCES BY AN ASSOCIATION WHO DESTROYS FILMS. A reptile of some sort is on the screen attacking people. Oh, God...","They're fast... they're vicious... they're completely inane... and this summer, you have to put up with them... again!"
"Continue the conversation in the style of ""Family Guy"".","CLOSE ON THEATER SCREEN. THE FOLLOWING PREVIEW HAS BEEN APPROVED FOR ALL AUDIENCES BY AN ASSOCIATION WHO DESTROYS FILMS. A reptile of some sort is on the screen attacking people. Oh, God...","They're fast... they're vicious... they're completely inane... and this summer, you have to put up with them... again!"
"Describe what happens next in ""Family Guy"".","CLOSE ON THEATER SCREEN. THE FOLLOWING PREVIEW HAS BEEN APPROVED FOR ALL AUDIENCES BY AN ASSOCIATION WHO DESTROYS FILMS. A reptile of some sort is on the screen attacking people. They're fast... they're vicious... they're completely inane... and this summer, you have to put up with them... again!","The main title of the movie emerges on screen: ANACONDAS 3."
"Respond as PREVIEW VOICEOVER from ""Family Guy"" would.","The main title of the movie emerges on screen: ANACONDAS 3. They're fast... they're vicious... they're completely inane... and this summer, you have to put up with them... again!","Starring Jean Stapleton as the sexy scientist."
"Continue the conversation in the style of ""Family Guy"".","The main title of the movie emerges on screen: ANACONDAS 3. They're fast... they're vicious... they're completely inane... and this summer, you have to put up with them... again!","Starring Jean Stapleton as the sexy scientist."
"Respond as JEAN STAPLETON from ""Family Guy"" would.",The main title of the movie emerges on screen: ANACONDAS 3. Starring Jean Stapleton as the sexy scientist.,"If we don't come up with an idea of how these things got so big, WE'RE ALL DEAD!"
"Describe what happens next in ""Family Guy"".",The main title of the movie emerges on screen: ANACONDAS 3. Starring Jean Stapleton as the sexy scientist.,"JEAN appears on screen, looking old and unhealthy."
"Continue the conversation in the style of ""Family Guy"".",The main title of the movie emerges on screen: ANACONDAS 3. Starring Jean Stapleton as the sexy scientist.,"If we don't come up with an idea of how these things got so big, WE'RE ALL DEAD!"
"Respond as PREVIEW VOICEOVER from ""Family Guy"" would.","JEAN appears on screen, looking old and unhealthy. If we don't come up with an idea of how these things got so big, WE'RE ALL DEAD!","...and Cliff Robertson in his most groundbreaking role ever as the villainous boat passenger..."
"Continue the conversation in the style of ""Family Guy"".","JEAN appears on screen, looking old and unhealthy. If we don't come up with an idea of how these things got so big, WE'RE ALL DEAD!","...and Cliff Robertson in his most groundbreaking role ever as the villainous boat passenger..."
"Respond as CLIFF ROBERTSON from ""Family Guy"" would.","JEAN appears on screen, looking old and unhealthy. ...and Cliff Robertson in his most groundbreaking role ever as the villainous boat passenger...","I'm here for no reason than to complicate matters, and to chew bubble gum. And damn it, I'm all out of bubble gum!"
"Continue the conversation in the style of ""Family Guy"".","JEAN appears on screen, looking old and unhealthy. ...and Cliff Robertson in his most groundbreaking role ever as the villainous boat passenger...","I'm here for no reason than to complicate matters, and to chew bubble gum. And damn it, I'm all out of bubble gum!"
"Respond as PREVIEW VOICEOVER from ""Family Guy"" would.","JEAN appears on screen, looking old and unhealthy. I'm here for no reason than to complicate matters, and to chew bubble gum. And damn it, I'm all out of bubble gum!","This is the film you have to see to believe..."
"Describe what happens next in ""Family Guy"".","JEAN appears on screen, looking old and unhealthy. I'm here for no reason than to complicate matters, and to chew bubble gum. And damn it, I'm all out of bubble gum!","The title appears again: ANACONDAS 3."
"Continue the conversation in the style of ""Family Guy"".","JEAN appears on screen, looking old and unhealthy. I'm here for no reason than to complicate matters, and to chew bubble gum. And damn it, I'm all out of bubble gum!","This is the film you have to see to believe..."
"Describe what happens next in ""Family Guy"".","The title appears again: ANACONDAS 3. This is the film you have to see to believe...,Everyone in the theater is silent."
"Respond as PETER from ""Family Guy"" would.","Everyone in the theater is silent. This is the film you have to see to believe...,I am so there."
"Continue the conversation in the style of ""Family Guy"".","Everyone in the theater is silent. This is the film you have to see to believe...,I am so there."
"Describe what happens next in ""Family Guy"".",Everyone in the theater is silent. I am so there.,"Stewie is on Lois's lap, fidgeting and fussing as he's terrified of the gross floor. Lois is becoming agitated as well."
"Respond as LOIS from ""Family Guy"" would.","Stewie is on Lois's lap, fidgeting and fussing as he's terrified of the gross floor. Lois is becoming agitated as well. I am so there.","Stewie, sit still. You're bothering Mommy."
"Continue the conversation in the style of ""Family Guy"".","Stewie is on Lois's lap, fidgeting and fussing as he's terrified of the gross floor. Lois is becoming agitated as well. I am so there.","Stewie, sit still. You're bothering Mommy."
"Respond as STEWIE from ""Family Guy"" would.","Stewie is on Lois's lap, fidgeting and fussing as he's terrified of the gross floor. Lois is becoming agitated as well. Stewie, sit still. You're bothering Mommy.","Lois, it's that damn floor! It'll kill us all, I tell you! ALL OF US! It's a germ infested, noxious, contaminated killing machine! DON'T LET IT GET ME!"
"Describe what happens next in ""Family Guy"".","Stewie is on Lois's lap, fidgeting and fussing as he's terrified of the gross floor. Lois is becoming agitated as well. Stewie, sit still. You're bothering Mommy.","Stewie climbs on top of Lois's head."
"Continue the conversation in the style of ""Family Guy"".","Stewie is on Lois's lap, fidgeting and fussing as he's terrified of the gross floor. Lois is becoming agitated as well. Stewie, sit still. You're bothering Mommy.","Lois, it's that damn floor! It'll kill us all, I tell you! ALL OF US! It's a germ infested, noxious, contaminated killing machine! DON'T LET IT GET ME!"
"Respond as LOIS from ""Family Guy"" would.","Stewie climbs on top of Lois's head. Lois, it's that damn floor! It'll kill us all, I tell you! ALL OF US! It's a germ infested, noxious, contaminated killing machine! DON'T LET IT GET ME!","That's it, Stewie! I told you to stop."
"Describe what happens next in ""Family Guy"".","Stewie climbs on top of Lois's head. Lois, it's that damn floor! It'll kill us all, I tell you! ALL OF US! It's a germ infested, noxious, contaminated killing machine! DON'T LET IT GET ME!","She pulls Stewie off of her head and sets him on the floor. Stewie howls in fear and disgust as his feet stick to the floor like a magnet on a fridge."
"Continue the conversation in the style of ""Family Guy"".","Stewie climbs on top of Lois's head. Lois, it's that damn floor! It'll kill us all, I tell you! ALL OF US! It's a germ infested, noxious, contaminated killing machine! DON'T LET IT GET ME!","That's it, Stewie! I told you to stop."
"Respond as STEWIE from ""Family Guy"" would.","She pulls Stewie off of her head and sets him on the floor. Stewie howls in fear and disgust as his feet stick to the floor like a magnet on a fridge. That's it, Stewie! I told you to stop.","Lois, for God's sake! Look, we can forget about the times when I tried to slaughter you, right? Lois? WOMAN, SAVE MEEE!!!"
"Describe what happens next in ""Family Guy"".","She pulls Stewie off of her head and sets him on the floor. Stewie howls in fear and disgust as his feet stick to the floor like a magnet on a fridge. That's it, Stewie! I told you to stop.","He falls over, and his face sticks to the floor like a cockroach in a Roach Motel."
"Continue the conversation in the style of ""Family Guy"".","She pulls Stewie off of her head and sets him on the floor. Stewie howls in fear and disgust as his feet stick to the floor like a magnet on a fridge. That's it, Stewie! I told you to stop.","Lois, for God's sake! Look, we can forget about the times when I tried to slaughter you, right? Lois? WOMAN, SAVE MEEE!!!"
"Respond as STEWIE from ""Family Guy"" would.","He falls over, and his face sticks to the floor like a cockroach in a Roach Motel. Lois, for God's sake! Look, we can forget about the times when I tried to slaughter you, right? Lois? WOMAN, SAVE MEEE!!!","Stuck... stuck... STUCK!"
"Describe what happens next in ""Family Guy"".","He falls over, and his face sticks to the floor like a cockroach in a Roach Motel. Lois, for God's sake! Look, we can forget about the times when I tried to slaughter you, right? Lois? WOMAN, SAVE MEEE!!!","He tries to pull away, but his skin remains glued to the sticky floor. He begins to cry. People in the audience become irritated."
"Continue the conversation in the style of ""Family Guy"".","He falls over, and his face sticks to the floor like a cockroach in a Roach Motel. Lois, for God's sake! Look, we can forget about the times when I tried to slaughter you, right? Lois? WOMAN, SAVE MEEE!!!","Stuck... stuck... STUCK!"
"Respond as AUDIENCE MEMBER #1 from ""Family Guy"" would.","He tries to pull away, but his skin remains glued to the sticky floor. He begins to cry. People in the audience become irritated. Stuck... stuck... STUCK!","CAN YOU SHUT THAT BABY UP!?"
"Continue the conversation in the style of ""Family Guy"".","He tries to pull away, but his skin remains glued to the sticky floor. He begins to cry. People in the audience become irritated. Stuck... stuck... STUCK!","CAN YOU SHUT THAT BABY UP!?"
"Respond as AUDIENCE MEMBER #2 from ""Family Guy"" would.","He tries to pull away, but his skin remains glued to the sticky floor. He begins to cry. People in the audience become irritated. CAN YOU SHUT THAT BABY UP!?","WE'RE TRYING TO WATCH A MOVIE HERE!"
"Continue the conversation in the style of ""Family Guy"".","He tries to pull away, but his skin remains glued to the sticky floor. He begins to cry. People in the audience become irritated. CAN YOU SHUT THAT BABY UP!?","WE'RE TRYING TO WATCH A MOVIE HERE!"
"Respond as LOIS from ""Family Guy"" would.","He tries to pull away, but his skin remains glued to the sticky floor. He begins to cry. People in the audience become irritated. WE'RE TRYING TO WATCH A MOVIE HERE!","Brian, can you take Stewie out to the lobby?"
"Describe what happens next in ""Family Guy"".","He tries to pull away, but his skin remains glued to the sticky floor. He begins to cry. People in the audience become irritated. WE'RE TRYING TO WATCH A MOVIE HERE!","Lois leans over to Brian."
"Continue the conversation in the style of ""Family Guy"".","He tries to pull away, but his skin remains glued to the sticky floor. He begins to cry. People in the audience become irritated. WE'RE TRYING TO WATCH A MOVIE HERE!","Brian, can you take Stewie out to the lobby?"
"Respond as BRIAN from ""Family Guy"" would.","Lois leans over to Brian. Brian, can you take Stewie out to the lobby?","Sure, Lois."
"Describe what happens next in ""Family Guy"".","Lois leans over to Brian. Brian, can you take Stewie out to the lobby?","Brian stands up and picks up Stewie. Stewie's face peels off of the floor and stretches as Stewie finally stands completely. Brian picks Stewie up and walks out of the theater with him."
"Continue the conversation in the style of ""Family Guy"".","Lois leans over to Brian. Brian, can you take Stewie out to the lobby?","Sure, Lois."
"Respond as STEWIE from ""Family Guy"" would.","Brian stands up and picks up Stewie. Stewie's face peels off of the floor and stretches as Stewie finally stands completely. Brian picks Stewie up and walks out of the theater with him. Sure, Lois.","Brian! Get off of the floor!"
"Describe what happens next in ""Family Guy"".","Brian stands up and picks up Stewie. Stewie's face peels off of the floor and stretches as Stewie finally stands completely. Brian picks Stewie up and walks out of the theater with him. Sure, Lois.","Stewie jumps onto a bench and quivers at the sight of the floor."
"Continue the conversation in the style of ""Family Guy"".","Brian stands up and picks up Stewie. Stewie's face peels off of the floor and stretches as Stewie finally stands completely. Brian picks Stewie up and walks out of the theater with him. Sure, Lois.","Brian! Get off of the floor!"
"Respond as BRIAN from ""Family Guy"" would.","Stewie jumps onto a bench and quivers at the sight of the floor. Brian! Get off of the floor!,What for?"
"Continue the conversation in the style of ""Family Guy"".","Stewie jumps onto a bench and quivers at the sight of the floor. Brian! Get off of the floor!,What for?"
"Respond as STEWIE from ""Family Guy"" would.","Stewie jumps onto a bench and quivers at the sight of the floor. What for?,There's no time! I'll save you!"
"Describe what happens next in ""Family Guy"".",Stewie jumps onto a bench and quivers at the sight of the floor. What for?,"Stewie jumps off of the bench and tackles Brian to the floor, smashing a potted plant to pieces as the vase breaks into tiny fragments. Stewie lifts Brian up from his collar and pulls him onto the bench. Stewie is out of breath and Brian is confused."
"Continue the conversation in the style of ""Family Guy"".","Stewie jumps onto a bench and quivers at the sight of the floor. What for?,There's no time! I'll save you!"
"Respond as BRIAN from ""Family Guy"" would.","Stewie jumps off of the bench and tackles Brian to the floor, smashing a potted plant to pieces as the vase breaks into tiny fragments. Stewie lifts Brian up from his collar and pulls him onto the bench. Stewie is out of breath and Brian is confused. There's no time! I'll save you!","Stewie, what the hell?"
"Continue the conversation in the style of ""Family Guy"".","Stewie jumps off of the bench and tackles Brian to the floor, smashing a potted plant to pieces as the vase breaks into tiny fragments. Stewie lifts Brian up from his collar and pulls him onto the bench. Stewie is out of breath and Brian is confused. There's no time! I'll save you!","Stewie, what the hell?"
"Respond as STEWIE from ""Family Guy"" would.","Stewie jumps off of the bench and tackles Brian to the floor, smashing a potted plant to pieces as the vase breaks into tiny fragments. Stewie lifts Brian up from his collar and pulls him onto the bench. Stewie is out of breath and Brian is confused. Stewie, what the hell?","We're safe here. Not forever, but for now."
"Continue the conversation in the style of ""Family Guy"".","Stewie jumps off of the bench and tackles Brian to the floor, smashing a potted plant to pieces as the vase breaks into tiny fragments. Stewie lifts Brian up from his collar and pulls him onto the bench. Stewie is out of breath and Brian is confused. Stewie, what the hell?","We're safe here. Not forever, but for now."
"Respond as BRIAN from ""Family Guy"" would.","Stewie jumps off of the bench and tackles Brian to the floor, smashing a potted plant to pieces as the vase breaks into tiny fragments. Stewie lifts Brian up from his collar and pulls him onto the bench. Stewie is out of breath and Brian is confused. We're safe here. Not forever, but for now.","What were we not safe from to begin with?"
"Continue the conversation in the style of ""Family Guy"".","Stewie jumps off of the bench and tackles Brian to the floor, smashing a potted plant to pieces as the vase breaks into tiny fragments. Stewie lifts Brian up from his collar and pulls him onto the bench. Stewie is out of breath and Brian is confused. We're safe here. Not forever, but for now.","What were we not safe from to begin with?"
"Respond as STEWIE from ""Family Guy"" would.","Stewie jumps off of the bench and tackles Brian to the floor, smashing a potted plant to pieces as the vase breaks into tiny fragments. Stewie lifts Brian up from his collar and pulls him onto the bench. Stewie is out of breath and Brian is confused. What were we not safe from to begin with?","I'll show you."
"Describe what happens next in ""Family Guy"".","Stewie jumps off of the bench and tackles Brian to the floor, smashing a potted plant to pieces as the vase breaks into tiny fragments. Stewie lifts Brian up from his collar and pulls him onto the bench. Stewie is out of breath and Brian is confused. What were we not safe from to begin with?","Stewie leans over the bench and peers at the floor."
"Continue the conversation in the style of ""Family Guy"".","Stewie jumps off of the bench and tackles Brian to the floor, smashing a potted plant to pieces as the vase breaks into tiny fragments. Stewie lifts Brian up from his collar and pulls him onto the bench. Stewie is out of breath and Brian is confused. What were we not safe from to begin with?","I'll show you."
"Respond as STEWIE from ""Family Guy"" would.",Stewie leans over the bench and peers at the floor. I'll show you.,"There. Just below us. Frightening, isn't it?"
"Continue the conversation in the style of ""Family Guy"".",Stewie leans over the bench and peers at the floor. I'll show you.,"There. Just below us. Frightening, isn't it?"
"Respond as BRIAN from ""Family Guy"" would.","Stewie leans over the bench and peers at the floor. There. Just below us. Frightening, isn't it?","Stewie, are you talking about the floor?"
"Continue the conversation in the style of ""Family Guy"".","Stewie leans over the bench and peers at the floor. There. Just below us. Frightening, isn't it?","Stewie, are you talking about the floor?"
"Respond as STEWIE from ""Family Guy"" would.","Stewie leans over the bench and peers at the floor. Stewie, are you talking about the floor?","NO! What's ON the floor...!"
"Continue the conversation in the style of ""Family Guy"".","Stewie leans over the bench and peers at the floor. Stewie, are you talking about the floor?","NO! What's ON the floor...!"
"Respond as BRIAN from ""Family Guy"" would.","Stewie leans over the bench and peers at the floor. NO! What's ON the floor...!,The carpet?"
"Continue the conversation in the style of ""Family Guy"".","Stewie leans over the bench and peers at the floor. NO! What's ON the floor...!,The carpet?"
"Respond as THEATER USHER from ""Family Guy"" would.",Stewie leans over the bench and peers at the floor. The carpet?,"I'm sorry, sir, but there's no dogs allowed in the theater. And every infant must have an adult with them over the age of 18."
"Describe what happens next in ""Family Guy"".","Stewie leans over the bench and peers at the floor. The carpet?,A THEATER USHER approaches Brian and Stewie. The one that turned Meg away."
"Continue the conversation in the style of ""Family Guy"".",Stewie leans over the bench and peers at the floor. The carpet?,"I'm sorry, sir, but there's no dogs allowed in the theater. And every infant must have an adult with them over the age of 18."
"Respond as BRIAN from ""Family Guy"" would.","A THEATER USHER approaches Brian and Stewie. The one that turned Meg away. I'm sorry, sir, but there's no dogs allowed in the theater. And every infant must have an adult with them over the age of 18.","Over 18? I'm 49 years old!"
"Continue the conversation in the style of ""Family Guy"".","A THEATER USHER approaches Brian and Stewie. The one that turned Meg away. I'm sorry, sir, but there's no dogs allowed in the theater. And every infant must have an adult with them over the age of 18.","Over 18? I'm 49 years old!"
"Respond as THEATER USHER from ""Family Guy"" would.","A THEATER USHER approaches Brian and Stewie. The one that turned Meg away. Over 18? I'm 49 years old!,And human."
"Continue the conversation in the style of ""Family Guy"".","A THEATER USHER approaches Brian and Stewie. The one that turned Meg away. Over 18? I'm 49 years old!,And human."
"Respond as BRIAN from ""Family Guy"" would.","A THEATER USHER approaches Brian and Stewie. The one that turned Meg away. And human.,You can't do that. I'm a paying customer."
"Continue the conversation in the style of ""Family Guy"".","A THEATER USHER approaches Brian and Stewie. The one that turned Meg away. And human.,You can't do that. I'm a paying customer."
"Respond as THEATER USHER from ""Family Guy"" would.",A THEATER USHER approaches Brian and Stewie. The one that turned Meg away. You can't do that. I'm a paying customer.,"It's our policy, sir, and I can't bend the rules to satisfy what you think is right."
"Continue the conversation in the style of ""Family Guy"".",A THEATER USHER approaches Brian and Stewie. The one that turned Meg away. You can't do that. I'm a paying customer.,"It's our policy, sir, and I can't bend the rules to satisfy what you think is right."
